ticker,period_type,period_label,metric,mean,low,high,median,std_dev,num_estimates,buy_count,hold_count,sell_count,as_of_date,currency
2222.SR,ANNUAL,FY2026,EPS,1.85,1.55,2.20,1.83,0.19,18,,,,2026-05-01,SAR
2222.SR,ANNUAL,FY2027,EPS,1.92,1.45,2.35,1.90,0.21,16,,,,2026-05-01,SAR
2222.SR,QUARTERLY,Q2_2026,EPS,0.48,0.41,0.55,0.47,0.04,12,,,,2026-05-01,SAR
2222.SR,ANNUAL,FY2026,REVENUE,1820000000000,1700000000000,1950000000000,1815000000000,,16,,,,2026-05-01,SAR
2222.SR,ANNUAL,FY2027,REVENUE,1890000000000,1760000000000,2020000000000,1880000000000,,14,,,,2026-05-01,SAR
2222.SR,QUARTERLY,Q2_2026,REVENUE,460000000000,420000000000,490000000000,455000000000,,12,,,,2026-05-01,SAR
2222.SR,ANNUAL,FY2026,EBITDA,860000000000,820000000000,895000000000,855000000000,,14,,,,2026-05-01,SAR
2222.SR,ANNUAL,FY2026,DIVIDEND_PER_SHARE,1.70,1.50,1.85,1.70,,15,,,,2026-05-01,SAR
2222.SR,TARGET,,TARGET_PRICE,32.50,27.00,38.00,32.00,3.20,18,,,,2026-05-01,SAR
2222.SR,RATING,,RATING,3.8,,,,,18,9,9,0,2026-05-01,
